Library,Line,Cohort,Chrom,Inv,Sample_Ind_N,Inv_F,Std_F,N_Inv,N_Std,N_Recomb,N_Mismap,N_Multmap
192par2L,192,Parental ♂,2L,t,298,0.5142751073947708,0.4857248926052292,29091,27476,0,33,0
192par2R,192,Parental ♂,2R,NS,298,0.30246654373505194,0.697533456264948,33134,76412,0,60,0
192par3L,192,Parental ♂,3L,Ok,298,0.16915062166008754,0.8308493783399125,44093,216580,0,219,0
192par3R,192,Parental ♂,3R,K,298,0.23677797778675777,0.7632220222132422,96680,311635,0,1410,0
251par2L,251,Parental ♂,2L,t,501,0.5394996112347822,0.4605003887652178,50652,43235,0,72,0
251par2R,251,Parental ♂,2R,NS,501,0.47504378573080863,0.5249562142691914,143753,158857,0,260,0
251par3L,251,Parental ♂,3L,Ok,501,0.13667921545789222,0.8633207845421078,32857,207538,0,350,0
251par3R,251,Parental ♂,3R,K,501,0.4184580224507629,0.5815419775492371,62254,86516,0,581,0
254par2L,254,Parental ♂,2L,t,561,0.5444706026232916,0.4555293973767084,106848,89394,0,245,0
254par2R,254,Parental ♂,2R,NS,561,0.45078473354416704,0.549215266455833,160643,195720,0,325,0
254par3L,254,Parental ♂,3L,Ok,561,0.2191265843474643,0.7808734156525357,14747,52552,0,107,0
254par3R,254,Parental ♂,3R,K,561,0.384379925991347,0.615620074008653,171912,275333,0,2078,0
418par2L,418,Parental ♂,2L,t,422,0.5379770580143473,0.46202294198565275,94642,81280,0,320,0
418par2R,418,Parental ♂,2R,NS,422,0.3839684082948204,0.6160315917051796,57659,92507,0,141,0
418par3L,418,Parental ♂,3L,Ok,422,0.24037014835310977,0.7596298516468902,60549,191350,0,330,0
418par3R,418,Parental ♂,3R,K,422,0.3471874808125085,0.6528125191874915,130054,244539,0,1756,0
192emb2L,192,Embryo,2L,t,1514,0.2645022103085026,0.7354977896914974,89990,250234,0,130,0
192emb2R,192,Embryo,2R,NS,1514,0.15075844910347344,0.8492415508965265,162029,912730,0,502,0
192emb3L,192,Embryo,3L,Ok,1514,0.07926104393686886,0.9207389560631312,42471,493366,0,490,0
192emb3R,192,Embryo,3R,K,1514,0.09476931387228343,0.9052306861277166,456855,4363851,0,7377,0
251emb2L,251,Embryo,2L,t,5508,0.26168603279865554,0.7383139672013445,478187,1349144,0,614,0
251emb2R,251,Embryo,2R,NS,5508,0.22806404887129914,0.7719359511287008,1170315,3961204,0,2145,0
251emb3L,251,Embryo,3L,Ok,5508,0.16992531076517992,0.8300746892348201,605085,2955803,0,3043,0
251emb3R,251,Embryo,3R,K,5508,0.17207376809977318,0.8279262319002268,3757197,18077607,0,47994,0
254emb2L,254,Embryo,2L,t,4709,0.2590126843409828,0.7409873156590172,674734,1930289,0,1171,0
254emb2R,254,Embryo,2R,NS,4709,0.2227902022348291,0.7772097977651709,878030,3063032,0,1952,0
254emb3L,254,Embryo,3L,Ok,4709,0.06767370424337817,0.9323262957566218,239741,3302861,0,3148,0
254emb3R,254,Embryo,3R,K,4709,0.15999168592622773,0.8400083140737723,1162306,6102484,0,15526,0
418emb2L,418,Embryo,2L,t,1253,0.3119760623325645,0.6880239376674355,142423,314096,0,267,0
418emb2R,418,Embryo,2R,NS,1253,0.25965795981912815,0.7403420401808718,165782,472681,0,308,0
418emb3L,418,Embryo,3L,Ok,1253,0.09205836792921296,0.907941632070787,96216,948947,0,958,0
418emb3R,418,Embryo,3R,K,1253,0.16959983440246176,0.8304001655975383,953706,4669566,0,12911,0
418emb2L.1a,418,Embryo,2L,t,1253,0.31028038653383533,0.6897196134661647,45659,101495,0,281,0
418emb2L.1b,418,Embryo,2L,t,1253,0.3109356415443251,0.6890643584556748,71629,158737,0,170,0
418emb2L.2a,418,Embryo,2L,t,1253,0.30888116764451284,0.6911188323554871,51383,114969,0,370,0
418emb2L.2b,418,Embryo,2L,t,1253,0.30855122324159023,0.6914487767584098,80717,180883,0,201,0
418emb2L.3a,418,Embryo,2L,t,1253,0.3217357881385248,0.6782642118614752,41853,88232,0,226,0
418emb2L.3b,418,Embryo,2L,t,1253,0.3224394945511096,0.6775605054488905,54530,114587,0,114,0
418emb2L.4a,418,Embryo,2L,t,1253,0.31692324917427084,0.6830767508257292,84918,183027,0,467,0
418emb2L.4b,418,Embryo,2L,t,1253,0.3152991871336011,0.684700812866399,141074,306355,0,279,0
418emb2L.5a,418,Embryo,2L,t,1253,0.3226119361750459,0.6773880638249541,157644,331005,0,632,0
418emb2L.5b,418,Embryo,2L,t,1253,0.32116007256194173,0.6788399274380583,279724,591256,0,437,0
418emb2L.6a,418,Embryo,2L,t,1253,0.3019930340839616,0.6980069659160384,206967,478370,0,828,0
418emb2L.6b,418,Embryo,2L,t,1253,0.3015676415852886,0.6984323584147114,385183,892086,0,617,0
418emb2R.1a,418,Embryo,2R,NS,1253,0.2503861973980532,0.7496138026019468,26906,80552,0,210,0
418emb2R.1b,418,Embryo,2R,NS,1253,0.24987590529331205,0.750124094706688,41782,125429,0,124,0
418emb2R.2a,418,Embryo,2R,NS,1253,0.2687948700918384,0.7312051299081617,44517,121100,0,237,0
418emb2R.2b,418,Embryo,2R,NS,1253,0.26990712250944465,0.7300928774905553,66229,179148,0,159,0
418emb2R.3a,418,Embryo,2R,NS,1253,0.2491245413849999,0.7508754586150002,35784,107855,0,232,0
418emb2R.3b,418,Embryo,2R,NS,1253,0.2509257223272791,0.7490742776727208,57058,170332,0,139,0
