Cohort,Chrom,Inv,Allele_N,Obs_Freq_Var,Scaling,Sampled_Variance
Cntrl 2,2L,Adult,400,2.7682105222092763e-06,3.1622776601683795e-05,0.03511508475529176
Cntrl 2,2L,Adult,400,2.7682105222092763e-06,3.9810717055349695e-05,0.027331962352613218
Cntrl 2,2L,Adult,400,2.7682105222092763e-06,5.011872336272715e-05,0.020835812990598637
Cntrl 2,2L,Adult,400,2.7682105222092763e-06,6.309573444801917e-05,0.01662387886720404
Cntrl 2,2L,Adult,400,2.7682105222092763e-06,7.94328234724279e-05,0.013074870113566816
Cntrl 2,2L,Adult,400,2.7682105222092763e-06,9.999999999999958e-05,0.010317882263717333
Cntrl 2,2L,Adult,400,2.7682105222092763e-06,0.0001258925411794161,0.008168922483160165
Cntrl 2,2L,Adult,400,2.7682105222092763e-06,0.00015848931924611044,0.006429515193484988
Cntrl 2,2L,Adult,400,2.7682105222092763e-06,0.00019952623149688666,0.005114167895126244
Cntrl 2,2L,Adult,400,2.7682105222092763e-06,0.00025118864315095617,0.004059737504110936
Cntrl 2,2L,Adult,400,2.7682105222092763e-06,0.00031622776601683534,0.0032061013613626137
Cntrl 2,2L,Adult,400,2.7682105222092763e-06,0.00039810717055349367,0.0025429222284951082
Cntrl 2,2L,Adult,400,2.7682105222092763e-06,0.0005011872336272673,0.0020163125105943608
Cntrl 2,2L,Adult,400,2.7682105222092763e-06,0.0006309573444801866,0.0016070480460686283
Cntrl 2,2L,Adult,400,2.7682105222092763e-06,0.0007943282347242724,0.001271980766380166
Cntrl 2,2L,Adult,400,2.7682105222092763e-06,0.0009999999999999877,0.0010108864935297818
Cntrl 2,2L,Adult,400,2.7682105222092763e-06,0.0012589254117941508,0.0008002225182577548
Cntrl 2,2L,Adult,400,2.7682105222092763e-06,0.0015848931924610915,0.0006347078167931071
Cntrl 2,2L,Adult,400,2.7682105222092763e-06,0.0019952623149688503,0.0005055065776938477
Cntrl 2,2L,Adult,400,2.7682105222092763e-06,0.0025118864315095413,0.0004008588715413404
Cntrl 2,2L,Adult,400,2.7682105222092763e-06,0.003162277660168328,0.00031929879391719835
Cntrl 2,2L,Adult,400,2.7682105222092763e-06,0.003981071705534904,0.0002528128067418446
Cntrl 2,2L,Adult,400,2.7682105222092763e-06,0.005011872336272633,0.00020090467095745505
Cntrl 2,2L,Adult,400,2.7682105222092763e-06,0.006309573444801814,0.00015956661617402045
Cntrl 2,2L,Adult,400,2.7682105222092763e-06,0.00794328234724266,0.0001263124570898673
Cntrl 2,2L,Adult,400,2.7682105222092763e-06,0.009999999999999796,0.00010075465890474106
Cntrl 2,2L,Adult,400,2.7682105222092763e-06,0.012589254117941404,7.997163428685089e-05
Cntrl 2,2L,Adult,400,2.7682105222092763e-06,0.015848931924610784,6.332432523718208e-05
Cntrl 2,2L,Adult,400,2.7682105222092763e-06,0.019952623149688337,5.03946724505229e-05
Cntrl 2,2L,Adult,400,2.7682105222092763e-06,0.025118864315095205,4.010531109256301e-05
Cntrl 2,2L,Adult,400,2.7682105222092763e-06,0.031622776601683014,3.180104298451664e-05
Cntrl 2,2L,Adult,400,2.7682105222092763e-06,0.039810717055348714,2.5285714725860936e-05
Cntrl 2,2L,Adult,400,2.7682105222092763e-06,0.050118723362725916,2.007368993750664e-05
Cntrl 2,2L,Adult,400,2.7682105222092763e-06,0.06309573444801762,1.5952003859545356e-05
Cntrl 2,2L,Adult,400,2.7682105222092763e-06,0.07943282347242595,1.2682882805699421e-05
Cntrl 2,2L,Adult,400,2.7682105222092763e-06,0.09999999999999713,1.0073001222185842e-05
Cntrl 2,2L,Adult,400,2.7682105222092763e-06,0.125892541179413,7.985840789659567e-06
Cntrl 2,2L,Adult,400,2.7682105222092763e-06,0.15848931924610654,6.340378890879616e-06
Cntrl 2,2L,Adult,400,2.7682105222092763e-06,0.19952623149688176,5.045122038244121e-06
