Library,Line,Cohort,Chrom,Sample_Ind_N,Inv,Inv_F,Std_F,N_Inv,N_Std,N_Recomb,N_Mismap,N_Multmap
2.1.2L.1a,Cntrl 2,Adult,2L,t,200,0.5117543024284062,0.48824569757159375,75233,71777,0,290,0
2.1.2L.1b,Cntrl 2,Adult,2L,t,200,0.5114678387363066,0.48853216126369337,137547,131379,0,229,0
2.1.2L.2a,Cntrl 2,Adult,2L,t,200,0.5142381691378569,0.4857618308621431,110012,103920,0,422,0
2.1.2L.2b,Cntrl 2,Adult,2L,t,200,0.5136690059276419,0.48633099407235814,188478,178447,0,284,0
2.1.2L.3a,Cntrl 2,Adult,2L,t,200,0.5157143354843206,0.48428566451567945,133225,125106,0,553,0
2.1.2L.3b,Cntrl 2,Adult,2L,t,200,0.5163069793871777,0.48369302061282227,258043,241743,0,347,0
2.1.2L.4a,Cntrl 2,Adult,2L,t,200,0.5151683582675143,0.4848316417324857,110296,103801,0,952,0
2.1.2L.4b,Cntrl 2,Adult,2L,t,200,0.5137076383260617,0.4862923616739383,211702,200404,0,672,0
2.1.2L.5a,Cntrl 2,Adult,2L,t,200,0.5152824495181648,0.4847175504818352,95285,89633,0,336,0
2.1.2L.5b,Cntrl 2,Adult,2L,t,200,0.5152672764376844,0.48473272356231556,175482,165083,0,212,0
2.1.2L.6a,Cntrl 2,Adult,2L,t,200,0.5168331102645939,0.4831668897354061,75300,70395,0,214,0
2.1.2L.6b,Cntrl 2,Adult,2L,t,200,0.5147437031904839,0.4852562968095161,136701,128870,0,169,0
2.1.2L.7a,Cntrl 2,Adult,2L,t,200,0.5151801785903364,0.4848198214096636,72983,68682,0,269,0
2.1.2L.7b,Cntrl 2,Adult,2L,t,200,0.5156245158758301,0.48437548412416986,149775,140698,0,216,0
2.1.2L.8a,Cntrl 2,Adult,2L,t,200,0.5171874830404533,0.48281251695954674,95298,88964,0,354,0
2.1.2L.8b,Cntrl 2,Adult,2L,t,200,0.5174969863272098,0.48250301367279025,175580,163707,0,237,0
2.1.2R.1a,Cntrl 2,Adult,2R,NS,200,0.18315350802077981,0.8168464919792202,32083,143087,0,360,0
2.1.2R.1b,Cntrl 2,Adult,2R,NS,200,0.18088361688844343,0.8191163831115565,64610,292581,0,242,0
2.1.2R.2a,Cntrl 2,Adult,2R,NS,200,0.18802134347938318,0.8119786565206168,53173,229630,0,527,0
2.1.2R.2b,Cntrl 2,Adult,2R,NS,200,0.1870613371914907,0.8129386628085093,94642,411299,0,338,0
2.1.2R.3a,Cntrl 2,Adult,2R,NS,200,0.22508658432986997,0.7749134156701301,48223,166019,0,478,0
2.1.2R.3b,Cntrl 2,Adult,2R,NS,200,0.22705025450369848,0.7729497454963015,88187,300216,0,296,0
2.1.2R.4a,Cntrl 2,Adult,2R,NS,200,0.24399057784115136,0.7560094221588487,69814,216320,0,524,0
2.1.2R.4b,Cntrl 2,Adult,2R,NS,200,0.24620136999449574,0.7537986300055043,125689,384824,0,305,0
2.1.2R.5a,Cntrl 2,Adult,2R,NS,200,0.18822438572090866,0.8117756142790913,12180,52530,0,91,0
2.1.2R.5b,Cntrl 2,Adult,2R,NS,200,0.18548640441202136,0.8145135955879786,21256,93340,0,49,0
2.1.2R.6a,Cntrl 2,Adult,2R,NS,200,0.18583709390888858,0.8141629060911114,9101,39872,0,76,0
2.1.2R.6b,Cntrl 2,Adult,2R,NS,200,0.18702186102472135,0.8129781389752786,16477,71625,0,45,0
2.1.2R.7a,Cntrl 2,Adult,2R,NS,200,0.1860852558762812,0.8139147441237188,10276,44946,0,115,0
2.1.2R.7b,Cntrl 2,Adult,2R,NS,200,0.18940603463955863,0.8105939653604414,18744,80218,0,62,0
2.1.3R.2a,Cntrl 2,Adult,3R,K,200,0.5033465300832638,0.4966534699167362,85056,83925,0,1260,0
2.1.3R.2b,Cntrl 2,Adult,3R,K,200,0.5027346030557055,0.4972653969442945,182555,180569,0,1141,0
2.1.3R.3a,Cntrl 2,Adult,3R,K,200,0.5000254498256687,0.49997455017433134,78590,78582,0,1168,0
2.1.3R.3b,Cntrl 2,Adult,3R,K,200,0.5017838778075443,0.4982161221924557,158084,156960,0,1154,0
2.1.3R.4a,Cntrl 2,Adult,3R,K,200,0.4946871750684557,0.5053128249315443,119416,121981,0,2024,0
2.1.3R.4b,Cntrl 2,Adult,3R,K,200,0.49655971776807073,0.5034402822319293,235197,238456,0,2049,0
2.1.3R.5a,Cntrl 2,Adult,3R,K,200,0.5006320268663565,0.49936797313364345,120004,119701,0,1846,0
2.1.3R.5b,Cntrl 2,Adult,3R,K,200,0.5026494201605709,0.4973505798394291,225388,223012,0,1532,0
2.1.3R.6a,Cntrl 2,Adult,3R,K,200,0.4976697335979313,0.5023302664020687,33103,33413,0,413,0
2.1.3R.6b,Cntrl 2,Adult,3R,K,200,0.49787669917415334,0.5021233008258467,46662,47060,0,242,0
2.1.3R.7a,Cntrl 2,Adult,3R,K,200,0.4999952973486452,0.5000047026513548,53161,53162,0,791,0
2.1.3R.7b,Cntrl 2,Adult,3R,K,200,0.5031187234186025,0.49688127658139747,104456,103161,0,707,0
6.2.2L.1a,Cntrl 6,Adult,2L,t,100,0.10025702153020934,0.8997429784697907,10766,96618,0,241,0
6.2.2L.1b,Cntrl 6,Adult,2L,t,100,0.09698830284682841,0.9030116971531716,20472,190605,0,194,0
6.2.2L.2a,Cntrl 6,Adult,2L,t,100,0.1235859376081749,0.8764140623918251,17851,126591,0,128,0
6.2.2L.2b,Cntrl 6,Adult,2L,t,100,0.12116861702735328,0.8788313829726467,31819,230782,0,108,0
6.2.2L.3a,Cntrl 6,Adult,2L,t,100,0.12997241033358414,0.8700275896664158,15546,104064,0,93,0
6.2.2L.3b,Cntrl 6,Adult,2L,t,100,0.1291340270561207,0.8708659729438792,27711,186880,0,89,0
6.2.2L.4a,Cntrl 6,Adult,2L,t,100,0.14860545107862563,0.8513945489213743,15899,91089,0,105,0
6.2.2L.4b,Cntrl 6,Adult,2L,t,100,0.14594925387186367,0.8540507461281364,31004,181426,0,73,0
6.2.2L.5a,Cntrl 6,Adult,2L,t,100,0.12341718926451861,0.8765828107354814,10273,72965,0,75,0
6.2.2L.5b,Cntrl 6,Adult,2L,t,100,0.12261119026777671,0.8773888097322233,19190,137321,0,72,0
6.2.2L.6a,Cntrl 6,Adult,2L,t,100,0.12333863045362611,0.8766613695463739,6830,48546,0,85,0
6.2.2L.6b,Cntrl 6,Adult,2L,t,100,0.12466518791328367,0.8753348120867164,11915,83661,0,52,0
6.2.2L.7a,Cntrl 6,Adult,2L,t,100,0.11293099400560312,0.8870690059943969,14431,113355,0,151,0
6.2.2L.7b,Cntrl 6,Adult,2L,t,100,0.11012473074766789,0.8898752692523321,26125,211106,0,119,0
6.2.2L.8a,Cntrl 6,Adult,2L,t,100,0.12926552321759396,0.870734476782406,12978,87420,0,119,0
6.2.2L.8b,Cntrl 6,Adult,2L,t,100,0.12542786345730156,0.8745721365426984,22829,159180,0,86,0
6.2.2L.9a,Cntrl 6,Adult,2L,t,100,0.1180181851920579,0.8819818148079421,10176,76048,0,93,0
6.2.2L.9b,Cntrl 6,Adult,2L,t,100,0.11935410813424659,0.8806458918657534,19499,143872,0,74,0
1.1.2L.1a,Cntrl 1,Adult,2L,t,200,0.9747789094262124,0.02522109057378763,186058,4814,0,634,0
1.1.2L.1b,Cntrl 1,Adult,2L,t,200,0.9757222047449096,0.02427779525509044,359780,8952,0,351,0
1.1.2L.2a,Cntrl 1,Adult,2L,t,200,0.9699852619312256,0.030014738068774416,198103,6130,0,608,0
1.1.2L.2b,Cntrl 1,Adult,2L,t,200,0.9704607448273038,0.029539255172696177,379258,11544,0,394,0
1.1.2L.3a,Cntrl 1,Adult,2L,t,200,0.9738860691174146,0.0261139308825854,178637,4790,0,470,0
1.1.2L.3b,Cntrl 1,Adult,2L,t,200,0.9734273182782687,0.026572681721731328,349109,9530,0,340,0
1.1.2L.4a,Cntrl 1,Adult,2L,t,200,0.9716394575137258,0.028360542486274176,187061,5460,0,552,0
1.1.2L.4b,Cntrl 1,Adult,2L,t,200,0.9717466018515651,0.02825339814843486,376614,10950,0,392,0
1.1.2L.5a,Cntrl 1,Adult,2L,t,200,0.9448000541308613,0.05519994586913868,139632,8158,0,445,0
1.1.2L.5b,Cntrl 1,Adult,2L,t,200,0.9441869630628957,0.055813036937104266,249153,14728,0,293,0
1.1.2L.6a,Cntrl 1,Adult,2L,t,200,0.9487558398883882,0.051244160111611814,103366,5583,0,342,0
1.1.2L.6b,Cntrl 1,Adult,2L,t,200,0.95108792740005,0.04891207259995001,186340,9583,0,224,0
1.1.2L.7a,Cntrl 1,Adult,2L,t,200,0.9475874472961424,0.052412552703857584,466792,25819,0,1089,0
1.1.2L.7b,Cntrl 1,Adult,2L,t,200,0.9483060161850145,0.05169398381498547,808447,44070,0,706,0
1.1.2L.8a,Cntrl 1,Adult,2L,t,200,0.944582164524757,0.05541783547524304,115836,6796,0,353,0
1.1.2L.8b,Cntrl 1,Adult,2L,t,200,0.945138582577933,0.05486141742206696,209989,12189,0,240,0
3.2.2L.1a,Cntrl 3,Adult,2L,t,200,0.3672745144806551,0.6327254855193449,50815,87542,0,225,0
3.2.2L.1b,Cntrl 3,Adult,2L,t,200,0.36605526703958097,0.6339447329604191,89588,155151,0,132,0
3.2.2L.2a,Cntrl 3,Adult,2L,t,200,0.3654473879603816,0.6345526120396183,52172,90590,0,214,0
3.2.2L.2b,Cntrl 3,Adult,2L,t,200,0.36358400147451847,0.6364159985254816,94686,165738,0,112,0
3.2.2L.3a,Cntrl 3,Adult,2L,t,200,0.36456381161932416,0.6354361883806758,56997,99346,0,214,0
3.2.2L.3b,Cntrl 3,Adult,2L,t,200,0.36379420830484266,0.6362057916951573,101619,177712,0,150,0
3.2.2L.4a,Cntrl 3,Adult,2L,t,200,0.3665992228634493,0.6334007771365506,31889,55097,0,140,0
3.2.2L.4b,Cntrl 3,Adult,2L,t,200,0.36534450770903976,0.6346554922909602,57107,99203,0,90,0
100e.2L.1a,Cntrl 100e,Embryo,2L,t,100,0.4383638462807191,0.5616361537192809,39867,51078,0,194,0
100e.2L.1b,Cntrl 100e,Embryo,2L,t,100,0.4387582120902517,0.5612417879097483,76870,98329,0,128,0
100e.2L.2a,Cntrl 100e,Embryo,2L,t,100,0.4355071221911953,0.5644928778088047,43201,55996,0,170,0
100e.2L.2b,Cntrl 100e,Embryo,2L,t,100,0.43751590184434325,0.5624840981556567,80821,103906,0,151,0
100e.2L.3a,Cntrl 100e,Embryo,2L,t,100,0.4345527099316803,0.5654472900683196,35174,45769,0,139,0
100e.2L.3b,Cntrl 100e,Embryo,2L,t,100,0.43654790513008046,0.5634520948699195,62673,80892,0,124,0
418emb2L.1a,418,Embryo,2L,t,1253,0.31028038653383533,0.6897196134661647,45659,101495,0,281,0
418emb2L.1b,418,Embryo,2L,t,1253,0.3109356415443251,0.6890643584556748,71629,158737,0,170,0
418emb2L.2a,418,Embryo,2L,t,1253,0.30888116764451284,0.6911188323554871,51383,114969,0,370,0
418emb2L.2b,418,Embryo,2L,t,1253,0.30855122324159023,0.6914487767584098,80717,180883,0,201,0
418emb2L.3a,418,Embryo,2L,t,1253,0.3217357881385248,0.6782642118614752,41853,88232,0,226,0
418emb2L.3b,418,Embryo,2L,t,1253,0.3224394945511096,0.6775605054488905,54530,114587,0,114,0
